timestamp,samples
1767709780.817892,-41939.03
1767709780.918158,-41954.08
1767709781.018611,-41933.24
1767709781.119062,-41929.566
1767709781.2200801,-42028.344
1767709781.3204741,-41966.008
1767709781.420867,-42011.84
1767709781.5223339,-42005.754
1767709781.6231291,-42067.008
1767709781.7456992,-42090.656
1767709781.8470988,-42047.09
1767709781.948483,-42162.613
1767709782.048865,-42132.344
1767709782.149805,-42113.793
1767709782.251153,-42164.57
1767709782.351403,-42090.625
1767709782.451852,-42205.2
1767709782.5533261,-42215.516
1767709782.6542878,-42215.78
1767709782.7553961,-42204.387
1767709782.856749,-42178.85
1767709782.9570858,-42228.53
1767709783.057914,-42232.688
1767709783.158249,-42268.91
1767709783.2587168,-42367.23
1767709783.3591208,-42377.19
1767709783.459881,-42353.8
1767709783.560158,-42475.758
1767709783.660556,-42379.97
1767709783.7619278,-42398.992
1767709783.862947,-42383.992
1767709783.963774,-42497.58
1767709784.0649788,-42505.61
1767709784.165496,-42561.637
1767709784.2661161,-42487.023
1767709784.367149,-42484.363
1767709784.4685671,-42566.16
1767709784.5699809,-42599.156
1767709784.670424,-42569.297
1767709784.771054,-42522.363
1767709784.871348,-42563.098
1767709784.9715672,-42651.703
1767709785.072824,-42667.09
1767709785.173216,-42671.117
1767709785.27458,-42642.3
1767709785.375977,-42666.617
1767709785.476439,-42663.992
1767709785.576949,-42782.066
1767709785.67831,-42679.945
1767709785.778734,-42795.91
1767709785.879874,-42680.08
1767709785.9811652,-42754.363
1767709786.082484,-42848.03
1767709786.182859,-42826.42
1767709786.283069,-42854.13
1767709786.384036,-42963.965
1767709786.484431,-42927.484
1767709786.58488,-42963.992
1767709786.685767,-42946.633
1767709786.8094451,-42904.066,-42999.914
1767709786.9097779,-43017.8
1767709787.010315,-43055.367
1767709787.1107771,-42978.62
1767709787.211314,-43015.895
1767709787.3125792,-42998.062
1767709787.412976,-42990.453
1767709787.513514,-43065.39
1767709787.613878,-43100.82
1767709787.715133,-43111.37
1767709787.815576,-43128.824
1767709787.916994,-43155.812
1767709788.018495,-43258.95
1767709788.11989,-43190.984
1767709788.2212732,-43164.043
1767709788.322322,-43231.812
1767709788.422668,-43266.816
1767709788.524002,-43315.188
1767709788.6253178,-43327.137
1767709788.725733,-43315.855
1767709788.82705,-43308.773
1767709788.9273841,-43261.855
1767709789.02865,-43404.492
1767709789.1299899,-43328.727
1767709789.2303119,-43390.582
1767709789.3310149,-43395.344
1767709789.432267,-43319.426
1767709789.533139,-43397.887
1767709789.6344829,-43456.71
1767709789.734821,-43453.75
1767709789.8351412,-43446.035
1767709789.935503,-43413.836
1767709790.0360892,-43539.434
1767709790.1374772,-43494.227
1767709790.238127,-43513.094
1767709790.3387,-43587.105
1767709790.439727,-43576.242
1767709790.5405068,-43556.656
1767709790.641174,-43602.98
1767709790.74253,-43598.883
1767709790.8435771,-43606.77
1767709790.943957,-43641.504
1767709791.045332,-43660.656
1767709791.146038,-43712.004
1767709791.247512,-43744.45
1767709791.348632,-43686.395
1767709791.4494,-43698.887
1767709791.5499132,-43683.44
1767709791.6512132,-43783.27
1767709791.752162,-43741.86
1767709791.8755798,-43874.043
1767709791.976175,-43812.797
1767709792.077538,-43832.285
1767709792.17886,-43798.406
1767709792.27981,-43918.8
1767709792.381305,-43830.914
1767709792.481683,-43870.16
1767709792.5830898,-43869.645
1767709792.683661,-43987.176
1767709792.78419,-43889.746
1767709792.884919,-43966.09
1767709792.985472,-44018.004
1767709793.086922,-44056.54
1767709793.187413,-44008.15
1767709793.288785,-44031.324
1767709793.389149,-44053.316
1767709793.490145,-44065.613
1767709793.591491,-44003.97
1767709793.692854,-44061.027
1767709793.7931688,-44000.902
1767709793.8936388,-44090.793
1767709793.994047,-44102.156
1767709794.094594,-44166.875
1767709794.195271,-44081.473
1767709794.29666,-44093.395
1767709794.397135,-44200.81
1767709794.497547,-44169.96
1767709794.5982552,-44217.656
1767709794.699015,-44171.176
1767709794.7993758,-44278.223
1767709794.900718,-44265.715
1767709795.001099,-44300.92
1767709795.102201,-44376.785
1767709795.203648,-44285.055
1767709795.3042402,-44348.492
1767709795.404763,-44379.125
1767709795.5059142,-44373.273,-44344.81
1767709795.606833,-44382.55
1767709795.7081642,-44463.145
1767709795.8088949,-44421.555
1767709795.91023,-44506.72
1767709796.010645,-44421.656
1767709796.111382,-44466.727
1767709796.21183,-44537.3
1767709796.312306,-44522.38
1767709796.412797,-44544.92
1767709796.513258,-44507.402
1767709796.6136441,-44526.223
1767709796.7145312,-44604.02
1767709796.815455,-44554.64
1767709796.938496,-44673.938
1767709797.039307,-44602.266
1767709797.140366,-44620.59
1767709797.240921,-44611.633
1767709797.341333,-44637.086
1767709797.442466,-44708.42
1767709797.543828,-44667.395
1767709797.6442418,-44738.918
1767709797.7446342,-44691.4
1767709797.846112,-44752.297
1767709797.946628,-44790.99
1767709798.047518,-44741.773
1767709798.147894,-44828.64
1767709798.249287,-44753.004
1767709798.35071,-44773.418
1767709798.45121,-44846.727
1767709798.55196,-44793.57
1767709798.65237,-44846.26
1767709798.752768,-44757.48
1767709798.854187,-44866.43
1767709798.954759,-44882.812
1767709799.056135,-44825.008
1767709799.1574578,-44880.656
1767709799.258697,-44942.055
1767709799.3595688,-44945.785
1767709799.460983,-44989.81
1767709799.561444,-45009.438
1767709799.661978,-44971.008
1767709799.763226,-45037.305
1767709799.863799,-45048.504
1767709799.9650838,-45007.67
1767709800.066472,-45044.26
1767709800.1677928,-45129.062
1767709800.26815,-45132.81
1767709800.368684,-45056.7
1767709800.470061,-45099.59
1767709800.570694,-45114.48
1767709800.672073,-45233.84
1767709800.773376,-45222.625
1767709800.87375,-45191.28
1767709800.9741461,-45174.18
1767709801.075155,-45179.81
1767709801.1755872,-45249.63
1767709801.275955,-45174.35
