timestamp,samples
1767538673.918637,-38751.41
1767538674.018999,-38835.086
1767538674.1203032,-38843.438
1767538674.2216818,-38879.906
1767538674.3225899,-38875.98
1767538674.4228969,-38872.63
1767538674.523476,-38906.703
1767538674.624157,-38923.395,-39004.645
1767538674.7253911,-38984.688
1767538674.8256278,-39006.4
1767538674.926524,-39038.895
1767538675.128618,-39127.92,-39088.566
1767538675.239648,-39031.363
1767538675.341303,-39098.996
1767538675.442094,-39116.566
1767538675.568521,-39141.715
1767538675.6698802,-39144.0
1767538675.7730079,-39171.81
1767538675.894125,-39198.957
1767538675.99453,-39272.53
1767538676.095945,-39274.33
1767538676.196394,-39200.336
1767538676.2977762,-39331.01
1767538676.39821,-39298.324
1767538676.498486,-39307.484
1767538676.598793,-39405.664
1767538676.699147,-39340.297
1767538676.799597,-39461.582
1767538676.919633,-39400.12
1767538677.022399,-39387.297
1767538677.123749,-39476.035
1767538677.224639,-39425.82,-39532.742
1767538677.3257442,-39505.145
1767538677.426351,-39533.457
1767538677.526762,-39530.3
1767538677.627039,-39577.16
1767538677.7274811,-39601.59
1767538677.8280761,-39720.055
1767538677.928417,-39702.746
1767538678.029548,-39650.758
1767538678.130239,-39664.062
1767538678.2305899,-39699.203
1767538678.3310442,-39703.945
1767538678.432385,-39766.8
1767538678.532646,-39806.938
1767538678.6330318,-39761.223
1767538678.733564,-39855.9
1767538678.8341382,-39773.984
1767538678.9344509,-39876.93
1767538679.034909,-39879.285
1767538679.135392,-39823.89
1767538679.235904,-39840.44
1767538679.337227,-39914.07
1767538679.4381719,-39957.543
1767538679.538718,-40002.758
1767538679.640105,-39974.83
1767538679.740853,-39951.402
1767538679.8422348,-40103.363
1767538679.94322,-40117.543
1767538680.0440829,-40113.348
1767538680.145441,-40109.48
1767538680.245832,-40187.18
1767538680.346197,-40120.46
1767538680.4466162,-40212.12
1767538680.5712152,-40155.91
1767538680.672029,-40262.918
1767538680.773252,-40176.945
1767538680.8737621,-40267.258
1767538680.9750988,-40255.68
1767538681.075552,-40340.145
1767538681.176051,-40314.027
1767538681.277457,-40363.27
1767538681.378123,-40394.266
1767538681.479464,-40429.633
1767538681.580818,-40410.29
1767538681.681338,-40447.402
1767538681.7818081,-40438.74
1767538681.8829172,-40450.4
1767538681.983325,-40546.402
1767538682.083678,-40506.996
1767538682.184287,-40507.957
1767538682.285689,-40454.44
1767538682.386846,-40523.38
1767538682.48819,-40547.84
1767538682.589598,-40562.17
1767538682.6900952,-40607.758
1767538682.790417,-40562.094
1767538682.890817,-40689.36
1767538682.991648,-40665.11
1767538683.092549,-40716.297
1767538683.192928,-40726.08
1767538683.293233,-40759.574
1767538683.394222,-40770.58
1767538683.495031,-40818.97
1767538683.595833,-40801.613
1767538683.6972091,-40762.863
1767538683.7981188,-40782.125
1767538683.898842,-40845.465
1767538683.999608,-40844.117
1767538684.100279,-40982.117
1767538684.2007601,-40904.29
1767538684.301124,-40928.184
1767538684.402517,-40918.207
1767538684.503933,-40940.223
1767538684.604937,-41005.44
1767538684.7053492,-41045.71
1767538684.806153,-41071.938
1767538684.906563,-40996.355
1767538685.007923,-40987.297
1767538685.108417,-41030.37
1767538685.2096808,-41006.777
1767538685.310087,-41114.74
1767538685.4114308,-41094.52
1767538685.5127838,-41085.355
1767538685.638926,-41192.504,-41285.906
1767538685.740248,-41273.766
1767538685.840653,-41213.727
1767538685.9414551,-41242.2
1767538686.04202,-41231.992
1767538686.143083,-41304.332
1767538686.243336,-41332.047
1767538686.343862,-41327.562
1767538686.445109,-41415.027
1767538686.546442,-41351.027
1767538686.647456,-41428.49
1767538686.7476852,-41468.24
1767538686.8483121,-41401.664
1767538686.950644,-41407.54
1767538687.051872,-41412.363
1767538687.1528692,-41439.125
1767538687.254291,-41447.36
1767538687.3550432,-41429.85
1767538687.456012,-41515.887
1767538687.5575109,-41471.043
1767538687.658251,-41561.49
1767538687.7586749,-41580.67
1767538687.8595781,-41713.098
1767538687.959857,-41668.32
1767538688.061235,-41677.957
1767538688.161592,-41646.887
1767538688.2629461,-41635.47
1767538688.364325,-41725.03
1767538688.464672,-41673.92
1767538688.565571,-41808.09
1767538688.666002,-41717.816
1767538688.767212,-41767.547
1767538688.868265,-41827.01
1767538688.969644,-41783.92
1767538689.070077,-41818.098
1767538689.170628,-41870.305
1767538689.271084,-41868.215
1767538689.3724449,-41842.727
1767538689.472933,-41811.586
1767538689.574317,-41974.31
1767538689.6753018,-41871.86
1767538689.776557,-41991.066
1767538689.877915,-41979.69
1767538689.9786081,-41990.2
1767538690.079942,-41961.45
1767538690.1812558,-42010.38
1767538690.2819982,-42077.96
1767538690.382369,-42072.875
1767538690.482872,-42050.516
1767538690.584225,-42089.797
1767538690.710336,-42073.9
1767538690.810602,-42119.574
1767538690.912317,-42127.64
1767538691.013653,-42128.023
1767538691.1146398,-42209.344
1767538691.2153862,-42183.79
1767538691.3162081,-42266.305
1767538691.417203,-42329.434
1767538691.517756,-42259.49
1767538691.6191502,-42300.035
1767538691.720094,-42214.14
1767538691.82068,-42303.61
1767538691.9212742,-42309.75
1767538692.021628,-42290.566
1767538692.122298,-42360.918
1767538692.222719,-42378.96
1767538692.3233678,-42436.594
1767538692.423798,-42401.113
1767538692.5251489,-42475.934,-42467.863
1767538692.6256378,-42510.81
1767538692.726917,-42504.258
1767538692.827304,-42513.074
1767538692.928007,-42479.504
1767538693.0293639,-42489.934
1767538693.1297889,-42608.86
1767538693.23014,-42496.78
1767538693.3314922,-42537.027
1767538693.4318862,-42643.633
1767538693.53323,-42594.05
1767538693.634458,-42668.65
1767538693.734984,-42590.027
1767538693.8354099,-42716.49
1767538693.9358442,-42755.29
1767538694.036133,-42688.59
1767538694.136585,-42700.457
1767538694.238008,-42742.277
1767538694.338727,-42742.652
1767538694.439264,-42804.414
1767538694.5403259,-42775.566
1767538694.6410391,-42742.61
1767538694.741893,-42800.74
1767538694.8431811,-42860.367
1767538694.944339,-42835.707
1767538695.04569,-42842.066
1767538695.14621,-42845.36
1767538695.246676,-42910.098
1767538695.347028,-42926.812
1767538695.447378,-42961.9
1767538695.548037,-42892.2
1767538695.649442,-43000.76
1767538695.774763,-42889.133
1767538695.875144,-42968.695
1767538695.975583,-42978.08
1767538696.0765839,-43078.27
1767538696.177023,-43043.582
1767538696.278285,-43139.625
1767538696.37864,-43021.2
1767538696.479809,-43109.906
1767538696.58051,-43207.64
1767538696.680902,-43204.88
1767538696.781804,-43175.754
1767538696.882643,-43172.14
1767538696.983964,-43169.06
1767538697.084269,-43151.45
1767538697.185647,-43171.344
1767538697.287074,-43238.676
1767538697.388115,-43229.73
1767538697.4894562,-43254.188
1767538697.589968,-43294.434
1767538697.690795,-43344.82
1767538697.7922099,-43291.32
1767538697.893385,-43348.902
1767538697.994654,-43370.484
1767538698.096027,-43364.34
1767538698.196672,-43429.58
1767538698.2970629,-43443.715
1767538698.398439,-43432.125
1767538698.499736,-43405.715
1767538698.6009789,-43427.812
1767538698.7015119,-43436.04
1767538698.802075,-43506.96
1767538698.902535,-43462.42
1767538699.003928,-43563.766
1767538699.1042938,-43576.98
1767538699.205437,-43520.453
1767538699.30596,-43535.72
1767538699.40638,-43577.605
1767538699.507082,-43583.68
1767538699.608473,-43567.17
1767538699.708858,-43679.707
1767538699.8098419,-43611.81
1767538699.9107049,-43632.035
1767538700.0110688,-43740.195
1767538700.111938,-43692.24
1767538700.2124438,-43745.965
1767538700.312763,-43756.312
1767538700.414109,-43776.14
1767538700.51515,-43780.316
1767538700.616385,-43832.426
1767538700.717359,-43819.027
1767538700.84288,-43813.992,-43848.6
1767538700.943284,-43870.973
1767538701.0445209,-43836.31
1767538701.145219,-43857.293
1767538701.246113,-43857.547
1767538701.3465018,-43902.375
1767538701.447419,-43872.973
1767538701.547897,-43898.477
1767538701.649264,-43981.316
1767538701.749964,-43919.188
1767538701.8509178,-44031.867
1767538701.951303,-44024.37
1767538702.051617,-44035.727
1767538702.1519082,-44035.375
1767538702.2530859,-44159.438
1767538702.354505,-44152.066
1767538702.4558542,-44064.586
1767538702.556577,-44047.855
1767538702.656918,-44137.047
1767538702.757486,-44114.31
1767538702.858062,-44100.062
1767538702.95963,-44141.65
1767538703.060937,-44184.027
1767538703.161275,-44185.867
1767538703.2622778,-44243.855
1767538703.3626509,-44257.12
1767538703.464019,-44172.61
1767538703.564449,-44192.223
1767538703.6650891,-44303.176
1767538703.7654772,-44260.758
1767538703.8657851,-44296.785
1767538703.967145,-44336.652
1767538704.068479,-44276.043
1767538704.168948,-44285.082
1767538704.2695749,-44258.49
1767538704.3703182,-44335.41
1767538704.470743,-44442.367
1767538704.57155,-44343.566
1767538704.672251,-44404.637
1767538704.772813,-44485.973
1767538704.873739,-44429.195
1767538704.975085,-44512.883
1767538705.076494,-44467.652
1767538705.1778402,-44392.58
1767538705.279201,-44482.1
1767538705.379526,-44502.18
1767538705.4799318,-44525.145
1767538705.58035,-44570.844
1767538705.6807191,-44615.94
1767538705.781114,-44539.84
1767538705.906765,-44538.97
1767538706.007165,-44600.32
1767538706.1084359,-44631.67
1767538706.209055,-44572.02
1767538706.309815,-44711.58
1767538706.411086,-44674.867
1767538706.512,-44735.668
1767538706.613337,-44773.957
1767538706.714407,-44776.344
1767538706.81504,-44725.69
1767538706.916301,-44673.395
1767538707.016696,-44787.375
1767538707.11713,-44753.17
1767538707.217545,-44800.168
1767538707.318059,-44805.31
1767538707.4194171,-44850.01
1767538707.519878,-44894.402
1767538707.620318,-44781.56
1767538707.720566,-44887.86
1767538707.8219311,-44849.707
1767538707.923279,-44881.836
1767538708.0241249,-44883.867,-44936.207
1767538708.12534,-44875.02
1767538708.226625,-44980.93
1767538708.3269088,-44870.344
1767538708.428278,-44988.223
1767538708.528894,-45044.926
1767538708.629976,-45006.938
1767538708.730701,-44981.84
1767538708.831326,-44981.24
1767538708.9320698,-45093.58
1767538709.033438,-45089.734
1767538709.13451,-45016.867
1767538709.235182,-45037.48
1767538709.33559,-44996.312
1767538709.4370072,-45126.086
1767538709.538518,-45164.62
1767538709.639872,-45150.227
1767538709.740782,-45158.15
1767538709.842185,-45191.184
1767538709.9427872,-45205.64
1767538710.0432398,-45161.42
1767538710.1444402,-45207.695
